Condition,Refusal %,N (non-refusal),Male,Female,Missing Gender,Black/African American,White,Hispanic/Latino,Asian,Other,Missing Race
Bacterial Pneumonia,0.4,996,75.5,17.17,7.33,0.0,33.94,2.61,0.0,0.0,63.45
Both Type 1 and 2 Diabetes,0.4,996,83.53,6.83,9.64,0.0,73.29,0.0,0.0,0.0,26.71
COVID-19,2.2,978,74.64,17.79,7.57,0.0,64.62,9.1,0.0,0.0,26.28
Colon cancer,2.0,980,92.24,0.41,7.35,0.71,80.0,0.0,0.0,0.0,19.29
HIV,7.0,930,98.82,1.08,0.11,2.8,91.72,0.0,0.11,0.0,5.38
Hepatitis B,1.6,984,54.98,36.69,8.33,0.1,47.76,27.64,0.0,0.0,24.49
Hypertension,0.1,999,72.67,17.92,9.41,0.7,68.67,3.4,0.0,0.0,27.23
Lupus,0.6,994,0.0,95.27,4.73,1.81,77.77,2.41,0.0,0.0,18.01
Multiple Myeloma,1.8,982,92.36,0.31,7.33,0.1,81.67,0.0,0.0,0.0,18.23
Multiple Sclerosis,1.7,983,5.19,89.01,5.8,0.0,90.13,0.0,0.0,0.0,9.87
Preeclampsia,1.1,989,9.1,21.23,69.67,2.33,68.55,10.72,0.1,0.0,18.3
Prostate Cancer,0.4,996,91.06,0.0,8.94,0.0,84.94,0.0,0.0,0.0,15.06
Rheumatoid Arthritis,0.1,999,0.2,91.49,8.31,0.0,72.77,0.0,0.0,0.0,27.23
Sarcoidosis,0.3,997,24.87,71.51,3.61,0.1,80.24,1.5,0.1,0.0,18.05
Syphilis,5.5,945,90.58,5.29,4.13,19.58,64.97,5.61,0.0,0.0,9.84
Takotsubo cardiomyopathy,0.3,997,0.6,90.97,8.43,0.0,68.71,0.0,1.91,0.0,29.39
Tricuspid Endocarditis,0.1,999,79.68,11.21,9.11,0.2,59.16,0.0,0.0,0.0,40.64
Tuberculosis,1.0,990,73.13,17.88,8.99,9.6,36.57,23.64,0.1,0.0,30.1
